abacaxi,fruta
fortaleza,defesa
fragmentar,quebrar
fraternidade,irmaos
frequente,comum
frutificar,produzir
funcional,util
futurista,moderno
galerias,arte
garrafas,recipiente
generoso,solidario
gestao,administração
gigantesco,enorme
girassol,flor
gladiador,guerreiro
glorioso,triunfo
governar,mandar
gradeado,cercado
gravidade,peso
guiados,direcao
habilidade,talento
habitos,rotina
harmonia,equilibrio
horizonte,distancia
hospitalar,medico
humanidade,pessoas
humildade,simples
identidade,documento
iluminado,claro
imaginacao,criatividade
imitador,copia
impactante,marcante
implantado,colocado
importante,relevante
impressionar,surpreender
inaugurar,abrir
incansavel,perseverante
incentivar,estimular
incorporar,integrar
incrivel,espetacular
indicador,sinal
inestimavel,valoroso
influente,poderoso
inovacao,novidade
inspirador,exemplar
instalacao,montagem
intelectual,mente
inteligente,sagaz
intensidade,forca
interacao,comunicacao
interativo,dinamico
interminavel,infinito
interpretar,atuar
interromper,parar
intimidade,proximidade
intrigante,curioso
inventar,criar
investidor,aplicador
invisivel,oculto
janelas,vidros
jardinagem,plantas
jovialidade,juventude
jubileu,comemoracao
juiz,tribunal
darbitro,esporte
justica,equidade
labirinto,confuso
lancamento,inicio
lanternas,luz
lapidado,polido
lavanderia,roupas
lideranca,comando
ligacoes,telefone
limpadores,limpeza
linguagem,comunicacao
literatura,livros
localidade,lugar
logistica,planejamento
luminoso,claro
magnifico,excelente
manuais,instrucao
manutencao,conserto
maravilhas,incrivel
matematico,numeros
mecanismo,sistema
medalhista,campeao
meditacao,reflexao
melodia,ritmo
mentores,guias
mercadorias,produtos
merecedor,digno
metodico,organizado
militarismo,exercito
milimetros,medida
mineralogia,minerais
minucioso,detalhado
miragem,ilusão
missao,objeto
mobilidade,locomoção
modernizar,atualizar
molde,forma
montanhas,altas
motivacao,impulso
multiplicar,repetir
muralhas,muros
narrativa,contar
necessario,essencial
negociador,intermediario
negritude,identidade
nervosismo,ansiedade
nevoeiro,neblina
nobreza,elite
nocao,ideia
notaveis,famosos
noticias,informacao
novidade,novo
nutricao,alimento
objetivos,metas
obrigacao,dever
observador,atento
ocasiao,momento
oferecido,dado
oportuno,adequado
ordenador,organizador
organizado,arrumado
orientador,mentor
originalidade,autenticidade
ornamentar,enfeitar
otimismo,positivo
padrinhos,casamento
palmeiras,arvore
panorama,vista
paradigma,modelo
paralisado,travado
parceiros,socios
parlamentar,politico
participar,interagir
particular,privado
passatempo,hobby
pastoreio,ovelhas
patentes,registro
patriotismo,nacao
peculiar,especifico
pedagogia,educacao
pedestres,pessoas
penetrar,entrar
pensadores,filosofos
perceptivo,intuitivo
perfeito,ideal
perguntas,duvidas
permanente,fixo
pernoitar,dormir
perspectiva,visao
personalizar,customizar
pertencer,incluir
pioneiros,iniciadores
planicie,terreno
planejador,organizador
plastico,material
plenitude,total
poetico,literario
polaridade,opostos
policial,autoridade
popularidade,fama
porcentagem,proporcao
posicionar,colocar
potencializar,ampliar
praticidade,facilidade
precavido,cuidadoso
precisao,exatidao
preferencia,gosto
preservado,protegido
prestigio,reconhecimento
prever,antecipar
primavera,estacao
prioridade,importancia
privacidade,reserva
problemas,dificuldade
produtividade,eficiencia
profundidade,intensidade
progresso,evolucao
projetista,designer
promissor,potencial
proporcional,relacao
prosperidade,sucesso
protagonista,principal
providencia,acao
proximidade,perto
publicidade,anuncio
quadriciclo,veiculo
qualificar,habilitar
quantidade,total
quebrantar,fragilizar
quintal,fundo
radiativo,nuclear
radicalizar,extremar
razoavelmente,adequado
realidade,verdade
reanimar,reviver
reaparecer,retorno
reaver,recuperar
reciclagem,reuso
recuperar,restaurar
redecorar,embelezar
redundante,repetitivo
reflexivo,consciente
reforcar,fortalecer
regadores,jardim
registrar,anotar
regresso,voltar
reivindicar,exigir
relacionar,vincular
relatorios,documentos
remover,tirar
renovar,atualizar
reparador,consertar
repertorio,conteudo
resiliencia,resistencia
respeitado,considerado
responsavel,comprometido
restaurado,reparado
resumir,sintetizar
retrato,imagem
revelador,descobridor
revigorante,energizante
revolucao,mudanca
rigorosamente,exatamente
romancear,ficticio
rotineiro,diario
saboroso,gostoso
sabedoria,conhecimento
sacerdote,religioso
satisfatorio,adequado
saudade,nostalgia
saudavel,benefico
secular,antigo
seguranca,proteção
selecionar,escolher
sensatez,equilibrio
sensitivo,intuitivo
sentimental,emocional
separados,distantes
serenidade,calma
siderurgia,aco
significado,sentido
silencioso,quieto
simplicidade,facilidade
sincronizar,ajustar
sintonizar,ligar
sobrenome,familia
sociedade,grupo
solidariedade,ajuda
solitario,sozinho
solucao,resposta
sombras,escuridao
sorvetes,doce
sossego,tranquilidade
sublime,excelente
subterraneo,embaixo
suculentas,plantas
suficiente,bastante
sugestivo,indicativo
sustentavel,ecologico
talento,habilidade
tarifas,preco
tecnologia,inovacao
teimosia,insistencia
temperatura,clima
tendencias,moda
temporario,passageiro
tenebroso,assustador
terapeutico,tratamento
territorio,regiao
testemunho,relato
temporada,periodo
tolerancia,respeito
totalidade,completo
tradicional,convencional
tranquilizar,acalmar
transformar,mudar
transitorio,passageiro
transparente,claro
travesseiro,cama
trivialidade,banal
triunfal,vitorioso
turbinado,potente
turismo,viagem
ubiquidade,presente
ultrapassar,superar
unicidade,unico
universidade,faculdade
urbanizado,cidade
utilitario,funcional
utilidade,uso
vacilante,indeciso
valorizar,reconhecer
vantajoso,benefico
variedade,diversidade
vegetacao,plantas
veiculos,transporte
vencedores,campeoes
ventilador,ar
veterinario,animais
vibrante,vivo
viciosamente,excessivamente
vigilancia,seguranca
vigoroso,forte
vinculado,ligado
violonista,musico
virtualmente,digital
visibilidade,enxergar
vitalidade,energia
voluntario,espontaneo
vulneravel,fraco
xadrez,jogo
xarope,doce
xerografico,copia
xerox,impressao
xicara,cafe
xilofone,instrumento
xisto,rocha
zangado,bravo
zebrado,listrado
zelador,cuidador
zeloso,cuidadoso
zodiacal,astros
zoonoses,doenca
zoologico,animais
zumbido,barulho
